id,text,query,username,permalink,timestamp,media_type,relevance_score,relevance_tier,matched_terms,source_queries,retrieval_sources,searched_at,first_seen_at,last_seen_at,seen_count
3988633230882574535,"跟沒去過大巨蛋的人說一下
大巨蛋坐平面或是一樓不管哪裡都很遠🤣🤣🤣
這場地就真的超不適合演唱會！！！！",台北大巨蛋,kelly_8kz,https://www.threads.com/@kelly_8kz/post/DdaeMpyExDH,2026-09-18T03:29:15Z,TEXT_POST,30,candidate,"[""大巨蛋""]","[""台北大巨蛋""]",[],2026-09-25T18:02:39.261419407Z,2026-09-25T17:12:33.435185Z,2026-09-25T18:03:38.875521Z,3
3993174728395856705,我在想我真的有愛到只為了他要去大巨蛋嗎,台北大巨蛋,aes_katie,https://www.threads.com/@aes_katie/post/Ddqm0I8GhtB,2026-09-24T09:52:24Z,TEXT_POST,30,candidate,"[""大巨蛋""]","[""台北大巨蛋""]",[],2026-09-25T18:02:39.261384411Z,2026-09-25T17:12:33.435185Z,2026-09-25T18:03:38.875521Z,3
3993193596933392206,"FF大巨蛋官宣囉 我們11/28、29見
還有未來的拖鞋P😁😁",台北大巨蛋,plumage21,https://www.threads.com/@plumage21/post/DdqrGtolEdO,2026-09-24T10:29:53Z,IMAGE,30,candidate,"[""大巨蛋""]","[""台北大巨蛋""]",[],2026-09-25T17:20:47.606451692Z,2026-09-25T17:12:33.435185Z,2026-09-25T17:21:46.255167Z,2
3994053141573673401,"“Me pretending I’m busy, but checking my phone every 2 minutes waiting for her ‘hey’ like it’s a national announcement. 😂❤️📱”",Tokyo Dome concert,jonathangreen3963,https://www.threads.com/@jonathangreen3963/post/Ddtuiu9iCG5,2026-09-25T14:57:39Z,IMAGE,30,candidate,"[""nce""]","[""Tokyo Dome concert""]",[],2026-09-25T19:47:09.419801876Z,2026-09-25T19:47:22.048067Z,2026-09-25T19:47:22.048067Z,1
3994153683184802334,"🌌 KNUS NAGSÊ-WENSE 🌃 🌙 Goeienag-wense — Spesiaal vir jou! ✨ Voor jy vanaand jou oë toemaak, wil ek jou net herinner: Die Here het jou oneindig lief, en jy is kosbaar in Sy oë. 🙌🤍 📖 “Waarlik, Hy sluimer of slaap nie, Hy wat Israel bewaar nie.” — Psalm 121:4 Mag jou siel vanaand diep rus vind in Sy liefdevolle teenwoordigheid. 🤍🕊️ 🌾 Plaas jou volle geloof en vertroue in Hom — Hy wat jou bewaar, hou altyd oor jou die wag. Jy hoef nie vanaand alles te verstaan, op te los of te dra nie.",Tokyo Dome concert,sweetpea6234,https://www.threads.com/@sweetpea6234/post/DduFZzojFoe,2026-09-25T18:17:24Z,IMAGE,30,candidate,"[""ert""]","[""Tokyo Dome concert""]",[],2026-09-25T19:47:09.42001523Z,2026-09-25T19:47:22.048067Z,2026-09-25T19:47:22.048067Z,1
3994193124884898496,"My husband and I both work for Raytheon Technologies.
I'll only say this once.
My advice for September 28th is cancel your plans and stay home.",Tokyo Dome,rimi387100,https://www.threads.com/@rimi387100/post/DduOXwlEmLA,2026-09-25T19:35:46Z,TEXT_POST,30,candidate,"[""ome""]","[""Tokyo Dome""]",[],2026-09-25T19:36:04.657594228Z,2026-09-25T19:36:57.674661Z,2026-09-25T19:36:57.674661Z,1
3994193131914920694,"Pretty sure that someone who medically neglected me as a child by hiding a serious diagnosis and is about to turn 69 and covers her ears while saying “LALALA I CANT HEAR YOU” while stomping her feet when you are just trying to have a conversation about working out communication mishaps IS most definitely THE PROBLEM.

Living with her has highlighted how much of the problem she is.",Tokyo Dome,irlsarahconnor,https://www.threads.com/@irlsarahconnor/post/DduOX3IGAL2,2026-09-25T19:35:47Z,TEXT_POST,30,candidate,"[""ome""]","[""Tokyo Dome""]",[],2026-09-25T19:36:04.657763179Z,2026-09-25T19:36:57.674661Z,2026-09-25T19:36:57.674661Z,1
3994198665535342360,Rate mona,Tokyo Dome concert,princedelacruzzz88,https://www.threads.com/@princedelacruzzz88/post/DduPoYtkscY,2026-09-25T19:46:47Z,TEXT_POST,30,candidate,"[""nce""]","[""Tokyo Dome concert""]",[],2026-09-25T19:47:09.419690892Z,2026-09-25T19:47:22.048067Z,2026-09-25T19:47:22.048067Z,1
3994198668445030006,"Brushing my dog a couple times a week helps keep shedding down but ultimately my dog sheds and I need to sweep and vacuum more and will get fur on my clothes from time to time. 

With her high energy, I need to take her to the park for some intense activity at minimum for two 15 minute increments a day but usually it’s 45 minutes in the morning and 45 minutes at end of the day, then a 10 minute walk just before bed. If I do that, she gets her energy out and chills most of the day.",Tokyo Dome concert,ryanhhayden,https://www.threads.com/@ryanhhayden/post/DduPobbARZ2,2026-09-25T19:46:47Z,TEXT_POST,30,candidate,"[""ome""]","[""Tokyo Dome concert""]",[],2026-09-25T19:47:09.419855184Z,2026-09-25T19:47:22.048067Z,2026-09-25T19:47:22.048067Z,1
3994198694668932953,Rate moba,Tokyo Dome concert,princedelacruzzz88,https://www.threads.com/@princedelacruzzz88/post/DduPoz2EhdZ,2026-09-25T19:46:50Z,TEXT_POST,30,candidate,"[""nce""]","[""Tokyo Dome concert""]",[],2026-09-25T19:47:09.419676581Z,2026-09-25T19:47:22.048067Z,2026-09-25T19:47:22.048067Z,1
3994198744061071628,"But your journey into adulthood deserves more than comparison, it deserves guidance, honest conversations, and room to discover your purpose. 💜

That's what you'll find on Koach Keisha's YouTube channel, encouragement and real conversations to help you navigate purpose, confidence, growth, and the challenges of becoming who you're meant to be.

You don't have to have it all figured out. Just keep growing.

Your next chapter deserves guidance. 💜",Tokyo Dome concert,d4plc,https://www.threads.com/@d4plc/post/DduPph2ElEM,2026-09-25T19:46:56Z,TEXT_POST,30,candidate,"[""con""]","[""Tokyo Dome concert""]",[],2026-09-25T19:47:09.419949293Z,2026-09-25T19:47:22.048067Z,2026-09-25T19:47:22.048067Z,1
